word,count
dataset distillation,8
deformable,8
digital,8
disentangling,8
diverse,8
diversity,8
driving scene,8
dynamic scene,8
egocentric video,8
error,8
evolution,8
game,8
gating,8
gaze,8
gesture,8
identity,8
implicit neural,8
implicit neural representation,8
instruction,8
intelligence,8
intrinsic,8
iterative,8
latent diffusion,8
latent space,8
learnable,8
lora,8
lvlms,8
mllm,8
mobile,8
monocular depth,8
neural representation,8
object pose estimation,8
object segmentation,8
object tracking,8
orthogonal,8
perturbation,8
photometric,8
photorealistic,8
plug-and-play,8
pre-training,8
propagation,8
realistic,8
rectified,8
reduction,8
region-aware,8
score,8
see,8
small,8
spatial understanding,8
stable,8
style transfer,8
temporal grounding,8
temporally,8
tree,8
unleashing,8
weather,8
3d point,7
3d-aware,7
4d gaussian splatting,7
6d,7
accelerating diffusion,7
adapting,7
advancing,7
asymmetric,7
attribute,7
autoregressive image,7
awareness,7
box,7
compact,7
comprehension,7
constrained,7
context-aware,7
cooperative,7
design,7
dynamic gaussian,7
dynamic gaussian splatting,7
erasure,7
expressive,7
flow model,7
forgetting,7
gap,7
generating,7
graphic,7
hand-object,7
holistic,7
human mesh,7
infrared,7
interaction generation,7
interpretable,7
intervention,7
lane,7
large-scale dataset,7
long-tailed,7
model autonomous,7
model autonomous driving,7
native,7
natural,7
need,7
neural network,7
optical,7
parameter-efficient,7
path,7
phase,7
physic,7
physics-aware,7
portrait,7
post-training,7
precise,7
predictive,7
process,7
quality assessment,7
query,7
reinforcing,7
riemannian,7
safe,7
satellite,7
scenario,7
sequence,7
simulator,7
textual,7
tokenization,7
tool,7
underwater,7
urban,7
versatile,7
video anomaly detection,7
video editing,7
video temporal,7
visual autoregressive model,7
vla,7
vlm,7
weakly,7
weakly supervised,7
world modeling,7
's,6
3d scene understanding,6
3d shape,6
acceleration,6
adversarial attack,6
aerial-ground,6
ai,6
aligned,6
anchored,6
annotation,6
appearance,6
autoencoders,6
automated,6
autoregressive diffusion,6
autoregressive video,6
bayesian,6
behavior,6
bottleneck,6
boundary,6
calibrated,6
chain-of-thought,6
composed,6
concept erasure,6
contextual,6
coordinate,6
correspondence,6
ct,6
detecting,6
dexterous,6
digital twin,6
discrepancy,6
distance,6
domain adaptation,6
editable,6
efficient visual,6
extraction,6
feedback,6
feedforward,6
few-step,6
gated,6
general,6
geo-localization,6
graph generation,6
human-object,6
human-object interaction,6
hyperspectral,6
identifying,6
illumination,6
image quality,6
industrial,6
interleaved,6
inverse problem,6
latent visual,6
learner,6
lifting,6
long video understanding,6
long-term,6
loss,6
low-light,6
mamba,6
material,6
mixture-of-experts,6
modulation,6
multi-object tracking,6
multi-scale,6
multi-teacher,6
multimodal reasoning,6
multiple,6
negative,6
object detector,6
object-centric,6
optical flow,6
paradigm,6
privacy,6
processing,6
proxy,6
reasoning segmentation,6
reconstructing,6
rectification,6
recurrent,6
reflection,6
retrieval-augmented,6
reward modeling,6
rgb,6
risk,6
rl,6
road,6
sample,6
scene graph generation,6
scene text,6
scientific,6
self-evolving,6
semantics,6
signal,6
stereo matching,6
subspace,6
surface reconstruction,6
tactile,6
teacher,6
text-to-image model,6
texture,6
transformation,6
twin,6
unified 3d,6
unlearning,6
verifiable,6
video generative,6
video temporal grounding,6
video world,6
video world model,6
vision –,6
vision – language,6
vision-language navigation,6
volumetric,6
vqa,6
vulnerability,6
yet,6
– language,6
