word,count
long-tailed,8
medical image segmentation,8
merging,8
mixture expert,8
normal,8
performance,8
personalization,8
pixel,8
point tracking,8
potential,8
precise,8
processing,8
projection,8
question,8
rectified,8
rectified flow,8
residual,8
robot,8
sam,8
segment,8
selective,8
shift,8
single-view,8
slide,8
talking,8
text-to-image model,8
tokenization,8
trace,8
unifying,8
visual prompt,8
visual representation,8
vlms,8
zero-shot learning,8
3d point cloud,7
3d semantic,7
adapting,7
adversarial attack,7
aerial,7
answering,7
autoencoders,7
balanced,7
balancing,7
bidirectional,7
camouflaged object,7
capture,7
change,7
character,7
construction,7
convolution,7
cooperative,7
cross-domain,7
dance,7
dataset distillation,7
distilling,7
domain adaptation,7
efficiency,7
encoder,7
expressive,7
generation diffusion,7
generic,7
human pose estimation,7
image compression,7
image video,7
image-text,7
improved,7
inertial,7
infrared,7
interpolation,7
interpretable,7
inverse rendering,7
inversion,7
keypoint,7
large vision,7
large-scale dataset,7
learning 3d,7
lifting,7
linear,7
make,7
measurement,7
memory-efficient,7
metric,7
mllm,7
monocular video,7
multi-agent,7
negative,7
novel view,7
novel view synthesis,7
object pose,7
observation,7
pathology,7
physically,7
process,7
ray,7
rectification,7
region,7
regression,7
scene completion,7
seamless,7
semantic scene,7
sequence,7
sketch,7
slam,7
small,7
solver,7
sparse-view,7
stochastic,7
stream,7
structured,7
stylization,7
teacher,7
temporal grounding,7
temporally consistent,7
textual,7
token pruning,7
urban,7
video temporal,7
video temporal grounding,7
vision-language-action,7
visual generation,7
visual localization,7
weather,7
whole,7
whole slide,7
3d occupancy,6
3d scene understanding,6
3d shape,6
4d scene,6
acceleration,6
across,6
active learning,6
adversarial transferability,6
arbitrary,6
attribute,6
autoregressive model,6
awareness,6
baseline,6
causal,6
co-speech,6
coherent,6
collaborative perception,6
composed image,6
composed image retrieval,6
conditioned,6
context-aware,6
correction,6
cost,6
creation,6
cue,6
dataset benchmark,6
deformable,6
depth completion,6
design,6
detail,6
device,6
distance,6
document,6
dynamic 3d,6
end-to-end autonomous,6
end-to-end autonomous driving,6
exploration,6
frequency,6
gaze,6
generalizable 3d,6
generator,6
graph generation,6
head avatar,6
in-context learning,6
industrial,6
learning efficient,6
learning vision-language,6
lens,6
less,6
localized,6
long-horizon,6
low-light image,6
low-light image enhancement,6
machine,6
material,6
matter,6
model image,6
monocular depth estimation,6
multi-modal large,6
multi-modal large language,6
multi-scale,6
multi-task learning,6
natural,6
need,6
open-ended,6
outdoor,6
panoptic,6
partial,6
physic,6
protection,6
question answering,6
real-world image,6
redundancy,6
resolution,6
retrieval-augmented,6
scene graph generation,6
score distillation,6
semantic scene completion,6
semantically,6
semantics,6
sensor,6
separation,6
sequential,6
sign,6
slide image,6
sparsity,6
splat,6
spurious,6
strategy,6
streaming video,6
test,6
text image,6
texture,6
trajectory prediction,6
transition,6
transport,6
unposed,6
unseen,6
variational,6
video object,6
video super-resolution,6
vision foundation,6
vision foundation model,6
vlm,6
whole slide image,6
